s01-cb.csv(10)	 	 	 	  	 s02-dma.csv(19)	 	 	 	  	 s03-ima-artists.xml(8)	 	 	 	  	 s04-ima-artworks.xml(19)	 	 	 	  	 s05-met.json(18)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(19)	 	 	 	  	 s08-s-17-edited.xml(8)	 	 	 	  	 s09-s-18-artists.json(6)	 	 	 	  	 s10-s-18-artworks.json(15)	 	 	 	  	 s11-s-19-artists.json(8)	 	 	 	  	 s12-s-19-artworks.json(12)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(14)	 	 	 	  	 s14-s-california-african-american.json(13)	 	 	 	  	 s15-s-detroit-institute-of-art.json(18)	 	 	 	  	 s16-s-hammer.xml(10)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(16)	 	 	 	  	 s18-s-indianapolis-artists.xml(8)	 	 	 	  	 s19-s-indianapolis-artworks.xml(19)	 	 	 	  	 s20-s-lacma.xml(14)	 	 	 	  	 s21-s-met.json(17)	 	 	 	  	 s22-s-moca.xml(10)	 	 	 	  	 s23-s-national-portrait-gallery.json(20)	 	 	 	  	 s24-s-norton-simon.json(13)	 	 	 	  	 s25-s-oakland-museum-paintings.json(16)	 	 	 	  	 s26-s-san-francisco-moma.json(17)	 	 	 	  	 s27-s-the-huntington.json(16)	 	 	 	  	 s28-wildlife-art.csv(23)	 	 	 	  	 s29-gilcrease.csv(14)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.533	1.0	1.0 	 0.0	0.0	0.17	1.0	1.0 	 0.0	0.0	0.063	1.0	1.0 	 0.0	0.0	0.123	1.0	1.0 	 0.0	0.0	0.096	1.0	1.0 	 0.0	0.0	0.087	1.0	1.0 	 0.0	0.0	0.1	1.0	1.0 	 0.0	0.0	0.085	1.0	1.0 	 0.0	0.0	0.057	1.0	1.0 	 0.0	0.0	0.107	1.0	1.0 	 0.0	0.0	0.064	1.0	1.0 	 0.0	0.0	0.088	1.0	1.0 	 0.0	0.0	0.091	1.0	1.0 	 0.0	0.0	0.082	1.0	1.0 	 0.0	0.0	0.091	1.0	1.0 	 0.0	0.0	0.083	1.0	1.0 	 0.0	0.0	0.117	1.0	1.0 	 0.0	0.0	0.065	1.0	1.0 	 0.0	0.0	0.1	1.0	1.0 	 0.0	0.0	0.083	1.0	1.0 	 0.0	0.0	0.086	1.0	1.0 	 0.0	0.0	0.093	1.0	1.0 	 0.0	0.0	0.088	1.0	1.0 	 0.0	0.0	0.091	1.0	1.0 	 0.0	0.0	0.094	1.0	1.0 	 0.0	0.0	0.14	1.0	1.0 	 0.0	0.0	0.089	1.0	1.0 	 0.08	0.05	0.11	1.0	1.0 	 0.0	0.0	0.078	1.0	1.0
0.92	1.0	1.228	1.0	1.0 	 0.86	0.8	2.666	1.0	1.0 	 0.75	0.67	0.232	1.0	1.0 	 0.73	0.61	0.506	1.0	1.0 	 0.45	0.36	0.174	1.0	1.0 	 0.77	0.56	0.29	1.0	1.0 	 0.73	0.61	0.494	1.0	1.0 	 0.0	0.0	0.109	1.0	1.0 	 0.25	0.4	0.149	1.0	1.0 	 0.25	0.3	0.115	1.0	1.0 	 0.2	0.17	0.092	1.0	1.0 	 0.6	0.67	0.2	1.0	1.0 	 0.69	0.69	0.305	1.0	1.0 	 0.44	0.44	0.105	1.0	1.0 	 0.79	0.73	0.451	1.0	1.0 	 0.44	0.5	0.149	1.0	1.0 	 0.79	0.79	0.467	1.0	1.0 	 0.75	0.67	0.238	1.0	1.0 	 0.67	0.56	0.497	1.0	1.0 	 0.0	0.0	0.382	1.0	1.0 	 0.85	0.79	2.047	1.0	1.0 	 0.56	0.62	0.251	1.0	1.0 	 0.85	0.58	0.298	1.0	1.0 	 0.77	0.77	0.272	1.0	1.0 	 0.79	0.73	0.349	1.0	1.0 	 0.33	0.29	0.622	1.0	1.0 	 0.79	0.79	0.434	1.0	1.0 	 0.62	0.53	0.6	1.0	1.0 	 0.75	0.67	0.144	1.0	1.0
0.92	1.0	0.686	1.0	1.0 	 0.93	0.87	2.257	1.0	1.0 	 1.0	1.0	0.167	1.0	1.0 	 0.75	0.67	1.668	1.0	1.0 	 0.5	0.43	0.608	1.0	1.0 	 0.79	0.61	1.134	1.0	1.0 	 0.75	0.67	1.629	1.0	1.0 	 0.0	0.0	0.157	1.0	1.0 	 0.22	0.4	0.159	1.0	1.0 	 0.25	0.3	0.123	1.0	1.0 	 0.0	0.0	0.136	1.0	1.0 	 0.7	0.78	0.287	1.0	1.0 	 0.71	0.77	1.036	1.0	1.0 	 0.0	0.0	0.279	1.0	1.0 	 0.87	0.87	1.1	1.0	1.0 	 0.5	0.62	0.438	1.0	1.0 	 0.8	0.86	1.109	1.0	1.0 	 1.0	1.0	0.159	1.0	1.0 	 0.75	0.67	1.611	1.0	1.0 	 0.77	0.77	1.067	1.0	1.0 	 0.93	0.93	1.855	1.0	1.0 	 0.75	0.75	0.237	1.0	1.0 	 0.86	0.63	1.109	1.0	1.0 	 0.85	0.85	0.321	1.0	1.0 	 0.8	0.8	1.41	1.0	1.0 	 0.62	0.59	1.495	1.0	1.0 	 0.8	0.86	1.131	1.0	1.0 	 0.71	0.63	2.446	1.0	1.0 	 0.78	0.78	0.251	1.0	1.0
1.0	1.0	1.352	1.0	1.0 	 0.67	0.67	2.874	1.0	1.0 	 0.88	0.78	0.16	1.0	1.0 	 0.75	0.67	2.072	1.0	1.0 	 0.5	0.43	0.645	1.0	1.0 	 0.79	0.61	0.976	1.0	1.0 	 0.75	0.67	2.058	1.0	1.0 	 0.0	0.0	0.151	1.0	1.0 	 0.22	0.4	0.152	1.0	1.0 	 0.25	0.3	0.129	1.0	1.0 	 0.0	0.0	0.135	1.0	1.0 	 0.7	0.78	0.316	1.0	1.0 	 0.71	0.77	1.397	1.0	1.0 	 0.0	0.0	0.275	1.0	1.0 	 0.87	0.87	1.477	1.0	1.0 	 0.5	0.62	0.455	1.0	1.0 	 0.8	0.86	1.506	1.0	1.0 	 1.0	1.0	0.151	1.0	1.0 	 0.75	0.67	2.125	1.0	1.0 	 0.77	0.77	1.161	1.0	1.0 	 0.93	0.93	2.257	1.0	1.0 	 0.0	0.0	0.231	1.0	1.0 	 0.86	0.63	1.088	1.0	1.0 	 0.85	0.85	0.47	1.0	1.0 	 0.0	0.0	1.715	1.0	1.0 	 0.4	0.35	2.231	1.0	1.0 	 0.8	0.86	1.504	1.0	1.0 	 0.71	0.63	1.897	1.0	1.0 	 0.78	0.78	0.256	1.0	1.0
1.0	1.0	0.899	1.0	1.0 	 0.64	0.6	2.614	1.0	1.0 	 0.88	0.78	0.146	1.0	1.0 	 0.76	0.72	2.638	1.0	1.0 	 0.62	0.57	2.641	1.0	1.0 	 0.93	0.72	1.603	1.0	1.0 	 0.72	0.72	2.161	1.0	1.0 	 0.57	0.57	0.17	1.0	1.0 	 0.22	0.4	0.158	1.0	1.0 	 0.45	0.5	0.148	1.0	1.0 	 0.33	0.5	0.342	1.0	1.0 	 0.8	0.89	0.289	1.0	1.0 	 0.83	0.77	1.73	1.0	1.0 	 0.7	0.78	1.478	1.0	1.0 	 1.0	1.0	1.784	1.0	1.0 	 0.56	0.62	1.005	1.0	1.0 	 1.0	1.0	1.626	1.0	1.0 	 0.88	0.78	0.153	1.0	1.0 	 0.72	0.72	2.21	1.0	1.0 	 0.69	0.69	2.693	1.0	1.0 	 1.0	1.0	0.913	1.0	1.0 	 0.78	0.88	0.154	1.0	1.0 	 0.93	0.74	1.768	1.0	1.0 	 1.0	1.0	0.254	1.0	1.0 	 0.87	0.87	2.039	1.0	1.0 	 0.75	0.71	2.988	1.0	1.0 	 1.0	1.0	1.605	1.0	1.0 	 0.72	0.68	2.842	1.0	1.0 	 0.64	0.78	1.291	1.0	1.0
1.0	1.0	0.924	1.0	1.0 	 0.73	0.73	2.482	1.0	1.0 	 0.88	0.78	0.606	1.0	1.0 	 0.88	0.83	2.877	1.0	1.0 	 0.62	0.57	2.604	1.0	1.0 	 0.93	0.72	1.394	1.0	1.0 	 0.83	0.83	3.376	1.0	1.0 	 0.57	0.57	0.212	1.0	1.0 	 0.22	0.4	0.158	1.0	1.0 	 0.45	0.5	0.133	1.0	1.0 	 0.33	0.5	0.515	1.0	1.0 	 0.8	0.89	0.359	1.0	1.0 	 0.83	0.77	1.451	1.0	1.0 	 0.64	0.78	1.808	1.0	1.0 	 1.0	1.0	1.553	1.0	1.0 	 0.56	0.62	1.661	1.0	1.0 	 1.0	1.0	1.58	1.0	1.0 	 0.88	0.78	0.148	1.0	1.0 	 0.83	0.83	3.327	1.0	1.0 	 0.64	0.69	2.58	1.0	1.0 	 1.0	1.0	0.809	1.0	1.0 	 0.78	0.88	0.147	1.0	1.0 	 0.93	0.74	1.453	1.0	1.0 	 1.0	1.0	0.243	1.0	1.0 	 0.75	0.8	2.698	1.0	1.0 	 0.75	0.71	2.454	1.0	1.0 	 1.0	1.0	1.505	1.0	1.0 	 0.89	0.84	3.17	1.0	1.0 	 0.82	1.0	0.752	1.0	1.0
1.0	1.0	0.87	1.0	1.0 	 0.73	0.73	2.483	1.0	1.0 	 0.88	0.78	0.628	1.0	1.0 	 0.78	0.78	3.367	1.0	1.0 	 0.62	0.57	2.587	1.0	1.0 	 0.93	0.72	1.416	1.0	1.0 	 0.78	0.78	3.324	1.0	1.0 	 0.57	0.57	0.981	1.0	1.0 	 0.1	0.2	0.695	1.0	1.0 	 0.45	0.5	0.528	1.0	1.0 	 0.33	0.5	0.992	1.0	1.0 	 0.8	0.89	1.401	1.0	1.0 	 0.83	0.77	1.654	1.0	1.0 	 0.58	0.78	1.837	1.0	1.0 	 1.0	1.0	1.548	1.0	1.0 	 0.56	0.62	1.562	1.0	1.0 	 1.0	1.0	1.568	1.0	1.0 	 0.88	0.78	0.631	1.0	1.0 	 0.78	0.78	3.206	1.0	1.0 	 0.69	0.69	2.717	1.0	1.0 	 1.0	1.0	0.834	1.0	1.0 	 0.78	0.88	0.854	1.0	1.0 	 0.89	0.84	1.952	1.0	1.0 	 1.0	1.0	1.464	1.0	1.0 	 0.76	0.87	2.195	1.0	1.0 	 0.75	0.71	2.438	1.0	1.0 	 1.0	1.0	1.531	1.0	1.0 	 0.89	0.84	3.258	1.0	1.0 	 0.82	1.0	0.709	1.0	1.0
1.0	1.0	0.533	1.0	1.0 	 0.71	0.67	2.153	1.0	1.0 	 0.88	0.78	0.321	1.0	1.0 	 0.83	0.83	1.094	1.0	1.0 	 0.54	0.5	2.089	1.0	1.0 	 0.73	0.61	0.446	1.0	1.0 	 0.83	0.83	1.029	1.0	1.0 	 0.57	0.57	0.967	1.0	1.0 	 0.1	0.2	0.696	1.0	1.0 	 0.45	0.5	0.53	1.0	1.0 	 0.33	0.5	0.996	1.0	1.0 	 0.8	0.89	1.204	1.0	1.0 	 0.83	0.77	1.646	1.0	1.0 	 0.58	0.78	1.604	1.0	1.0 	 1.0	1.0	1.588	1.0	1.0 	 0.56	0.62	1.666	1.0	1.0 	 1.0	1.0	1.604	1.0	1.0 	 0.88	0.78	0.718	1.0	1.0 	 0.78	0.78	3.325	1.0	1.0 	 0.69	0.69	2.71	1.0	1.0 	 1.0	1.0	0.821	1.0	1.0 	 0.78	0.88	0.814	1.0	1.0 	 0.89	0.84	1.964	1.0	1.0 	 1.0	1.0	1.431	1.0	1.0 	 0.87	0.87	2.088	1.0	1.0 	 0.75	0.71	2.71	1.0	1.0 	 1.0	1.0	1.536	1.0	1.0 	 0.89	0.84	3.264	1.0	1.0 	 0.82	1.0	0.8	1.0	1.0
1.0	1.0	0.493	1.0	1.0 	 0.73	0.73	2.374	1.0	1.0 	 0.88	0.78	0.334	1.0	1.0 	 0.83	0.83	0.978	1.0	1.0 	 0.54	0.5	2.103	1.0	1.0 	 0.73	0.61	0.447	1.0	1.0 	 0.83	0.83	0.979	1.0	1.0 	 0.57	0.57	1.08	1.0	1.0 	 0.22	0.4	0.302	1.0	1.0 	 0.45	0.5	0.515	1.0	1.0 	 0.33	0.5	0.819	1.0	1.0 	 0.8	0.89	0.354	1.0	1.0 	 0.83	0.77	0.459	1.0	1.0 	 0.54	0.78	0.397	1.0	1.0 	 0.81	0.87	0.489	1.0	1.0 	 0.36	0.5	1.47	1.0	1.0 	 1.0	1.0	0.475	1.0	1.0 	 0.88	0.78	0.344	1.0	1.0 	 0.83	0.83	1.1	1.0	1.0 	 0.69	0.69	2.135	1.0	1.0 	 1.0	1.0	0.6	1.0	1.0 	 0.78	0.88	0.246	1.0	1.0 	 0.89	0.84	0.993	1.0	1.0 	 1.0	1.0	0.407	1.0	1.0 	 0.76	0.87	7.239	1.0	1.0 	 0.61	0.65	2.363	1.0	1.0 	 1.0	1.0	0.454	1.0	1.0 	 0.89	0.84	37.932	1.0	1.0 	 0.82	1.0	0.475	1.0	1.0
1.0	1.0	0.509	1.0	1.0 	 0.73	0.73	2.324	1.0	1.0 	 0.88	0.78	0.32	1.0	1.0 	 0.83	0.83	1.164	1.0	1.0 	 0.54	0.5	2.054	1.0	1.0 	 0.73	0.61	0.452	1.0	1.0 	 0.83	0.83	1.125	1.0	1.0 	 0.57	0.57	0.903	1.0	1.0 	 0.22	0.4	0.309	1.0	1.0 	 0.45	0.5	0.514	1.0	1.0 	 0.33	0.5	0.871	1.0	1.0 	 0.8	0.89	0.358	1.0	1.0 	 0.83	0.77	0.465	1.0	1.0 	 0.54	0.78	0.401	1.0	1.0 	 0.81	0.87	0.517	1.0	1.0 	 0.36	0.5	1.328	1.0	1.0 	 1.0	1.0	0.467	1.0	1.0 	 0.88	0.78	0.328	1.0	1.0 	 0.83	0.83	1.138	1.0	1.0 	 0.64	0.69	2.13	1.0	1.0 	 1.0	1.0	0.62	1.0	1.0 	 0.78	0.88	0.251	1.0	1.0 	 0.89	0.84	0.996	1.0	1.0 	 1.0	1.0	0.41	1.0	1.0 	 0.76	0.87	6.866	1.0	1.0 	 0.61	0.65	2.461	1.0	1.0 	 1.0	1.0	0.465	1.0	1.0 	 0.89	0.84	31.161	1.0	1.0 	 0.82	1.0	0.451	1.0	1.0
