s01-cb.csv(10)	 	 	 	  	 s02-dma.csv(19)	 	 	 	  	 s03-ima-artists.xml(8)	 	 	 	  	 s04-ima-artworks.xml(19)	 	 	 	  	 s05-met.json(18)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(19)	 	 	 	  	 s08-s-17-edited.xml(8)	 	 	 	  	 s09-s-18-artists.json(6)	 	 	 	  	 s10-s-18-artworks.json(15)	 	 	 	  	 s11-s-19-artists.json(8)	 	 	 	  	 s12-s-19-artworks.json(12)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(14)	 	 	 	  	 s14-s-california-african-american.json(13)	 	 	 	  	 s15-s-detroit-institute-of-art.json(18)	 	 	 	  	 s16-s-hammer.xml(10)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(16)	 	 	 	  	 s18-s-indianapolis-artists.xml(8)	 	 	 	  	 s19-s-indianapolis-artworks.xml(19)	 	 	 	  	 s20-s-lacma.xml(14)	 	 	 	  	 s21-s-met.json(17)	 	 	 	  	 s22-s-moca.xml(10)	 	 	 	  	 s23-s-national-portrait-gallery.json(20)	 	 	 	  	 s24-s-norton-simon.json(13)	 	 	 	  	 s25-s-oakland-museum-paintings.json(16)	 	 	 	  	 s26-s-san-francisco-moma.json(17)	 	 	 	  	 s27-s-the-huntington.json(16)	 	 	 	  	 s28-wildlife-art.csv(23)	 	 	 	  	 s29-gilcrease.csv(14)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.382	1.0	1.0 	 0.0	0.0	0.15	1.0	1.0 	 0.0	0.0	0.064	1.0	1.0 	 0.0	0.0	0.12	1.0	1.0 	 0.0	0.0	0.09	1.0	1.0 	 0.0	0.0	0.083	1.0	1.0 	 0.0	0.0	0.095	1.0	1.0 	 0.0	0.0	0.076	1.0	1.0 	 0.0	0.0	0.052	1.0	1.0 	 0.0	0.0	0.099	1.0	1.0 	 0.0	0.0	0.057	1.0	1.0 	 0.0	0.0	0.104	1.0	1.0 	 0.0	0.0	0.086	1.0	1.0 	 0.0	0.0	0.083	1.0	1.0 	 0.0	0.0	0.088	1.0	1.0 	 0.0	0.0	0.08	1.0	1.0 	 0.0	0.0	0.09	1.0	1.0 	 0.0	0.0	0.065	1.0	1.0 	 0.0	0.0	0.095	1.0	1.0 	 0.0	0.0	0.077	1.0	1.0 	 0.0	0.0	0.085	1.0	1.0 	 0.0	0.0	0.087	1.0	1.0 	 0.0	0.0	0.089	1.0	1.0 	 0.0	0.0	0.086	1.0	1.0 	 0.0	0.0	0.091	1.0	1.0 	 0.0	0.0	0.111	1.0	1.0 	 0.0	0.0	0.095	1.0	1.0 	 0.08	0.05	0.134	1.0	1.0 	 0.0	0.0	0.072	1.0	1.0
0.92	1.0	1.098	1.0	1.0 	 0.86	0.8	2.364	1.0	1.0 	 0.75	0.67	0.223	1.0	1.0 	 0.73	0.61	0.488	1.0	1.0 	 0.45	0.36	0.166	1.0	1.0 	 0.77	0.56	0.283	1.0	1.0 	 0.73	0.61	0.47	1.0	1.0 	 0.0	0.0	0.105	1.0	1.0 	 0.25	0.4	0.144	1.0	1.0 	 0.25	0.3	0.112	1.0	1.0 	 0.2	0.17	0.088	1.0	1.0 	 0.6	0.67	0.197	1.0	1.0 	 0.69	0.69	0.294	1.0	1.0 	 0.44	0.44	0.108	1.0	1.0 	 0.79	0.73	0.416	1.0	1.0 	 0.44	0.5	0.139	1.0	1.0 	 0.79	0.79	0.414	1.0	1.0 	 0.75	0.67	0.221	1.0	1.0 	 0.67	0.56	0.464	1.0	1.0 	 0.0	0.0	0.365	1.0	1.0 	 0.85	0.79	2.009	1.0	1.0 	 0.56	0.62	0.24	1.0	1.0 	 0.85	0.58	0.284	1.0	1.0 	 0.77	0.77	0.271	1.0	1.0 	 0.79	0.73	0.335	1.0	1.0 	 0.33	0.29	0.498	1.0	1.0 	 0.79	0.79	0.458	1.0	1.0 	 0.62	0.53	0.646	1.0	1.0 	 0.75	0.67	0.139	1.0	1.0
0.92	1.0	0.637	1.0	1.0 	 0.93	0.87	2.011	1.0	1.0 	 1.0	1.0	0.15	1.0	1.0 	 0.75	0.67	1.581	1.0	1.0 	 0.5	0.43	0.523	1.0	1.0 	 0.79	0.61	1.06	1.0	1.0 	 0.75	0.67	1.649	1.0	1.0 	 0.0	0.0	0.151	1.0	1.0 	 0.22	0.4	0.146	1.0	1.0 	 0.25	0.3	0.126	1.0	1.0 	 0.0	0.0	0.122	1.0	1.0 	 0.7	0.78	0.225	1.0	1.0 	 0.71	0.77	0.913	1.0	1.0 	 0.0	0.0	0.271	1.0	1.0 	 0.87	0.87	1.056	1.0	1.0 	 0.5	0.62	0.412	1.0	1.0 	 0.8	0.86	1.073	1.0	1.0 	 1.0	1.0	0.148	1.0	1.0 	 0.75	0.67	1.52	1.0	1.0 	 0.77	0.77	1.009	1.0	1.0 	 0.93	0.93	1.806	1.0	1.0 	 0.75	0.75	0.224	1.0	1.0 	 0.86	0.63	1.088	1.0	1.0 	 0.85	0.85	0.277	1.0	1.0 	 0.8	0.8	1.354	1.0	1.0 	 0.62	0.59	1.495	1.0	1.0 	 0.8	0.86	1.116	1.0	1.0 	 0.71	0.63	2.282	1.0	1.0 	 0.78	0.78	0.249	1.0	1.0
1.0	1.0	1.279	1.0	1.0 	 0.67	0.67	2.63	1.0	1.0 	 0.88	0.78	0.153	1.0	1.0 	 0.75	0.67	2.04	1.0	1.0 	 0.5	0.43	0.566	1.0	1.0 	 0.79	0.61	0.928	1.0	1.0 	 0.75	0.67	2.04	1.0	1.0 	 0.0	0.0	0.159	1.0	1.0 	 0.22	0.4	0.146	1.0	1.0 	 0.25	0.3	0.122	1.0	1.0 	 0.0	0.0	0.127	1.0	1.0 	 0.7	0.78	0.25	1.0	1.0 	 0.71	0.77	1.272	1.0	1.0 	 0.0	0.0	0.255	1.0	1.0 	 0.87	0.87	1.433	1.0	1.0 	 0.5	0.62	0.406	1.0	1.0 	 0.8	0.86	1.406	1.0	1.0 	 1.0	1.0	0.15	1.0	1.0 	 0.75	0.67	2.05	1.0	1.0 	 0.77	0.77	1.08	1.0	1.0 	 0.93	0.93	2.165	1.0	1.0 	 0.0	0.0	0.216	1.0	1.0 	 0.86	0.63	0.944	1.0	1.0 	 0.85	0.85	0.357	1.0	1.0 	 0.0	0.0	1.671	1.0	1.0 	 0.4	0.35	2.153	1.0	1.0 	 0.8	0.86	1.619	1.0	1.0 	 0.71	0.63	1.765	1.0	1.0 	 0.78	0.78	0.251	1.0	1.0
1.0	1.0	0.858	1.0	1.0 	 0.64	0.6	2.45	1.0	1.0 	 0.88	0.78	0.148	1.0	1.0 	 0.76	0.72	2.548	1.0	1.0 	 0.62	0.57	2.518	1.0	1.0 	 0.93	0.72	1.458	1.0	1.0 	 0.72	0.72	2.422	1.0	1.0 	 0.57	0.57	0.2	1.0	1.0 	 0.22	0.4	0.149	1.0	1.0 	 0.45	0.5	0.145	1.0	1.0 	 0.33	0.5	0.312	1.0	1.0 	 0.8	0.89	0.28	1.0	1.0 	 0.83	0.77	1.675	1.0	1.0 	 0.7	0.78	1.515	1.0	1.0 	 1.0	1.0	1.67	1.0	1.0 	 0.56	0.62	0.874	1.0	1.0 	 1.0	1.0	1.564	1.0	1.0 	 0.88	0.78	0.158	1.0	1.0 	 0.72	0.72	2.061	1.0	1.0 	 0.69	0.69	2.535	1.0	1.0 	 1.0	1.0	0.88	1.0	1.0 	 0.78	0.88	0.151	1.0	1.0 	 0.93	0.74	1.786	1.0	1.0 	 1.0	1.0	0.227	1.0	1.0 	 0.87	0.87	2.036	1.0	1.0 	 0.75	0.71	3.063	1.0	1.0 	 1.0	1.0	1.642	1.0	1.0 	 0.72	0.68	2.699	1.0	1.0 	 0.64	0.78	1.265	1.0	1.0
1.0	1.0	0.907	1.0	1.0 	 0.73	0.73	2.08	1.0	1.0 	 0.88	0.78	0.601	1.0	1.0 	 0.88	0.83	2.744	1.0	1.0 	 0.62	0.57	2.578	1.0	1.0 	 0.93	0.72	1.378	1.0	1.0 	 0.83	0.83	3.19	1.0	1.0 	 0.57	0.57	0.252	1.0	1.0 	 0.22	0.4	0.146	1.0	1.0 	 0.45	0.5	0.129	1.0	1.0 	 0.33	0.5	0.481	1.0	1.0 	 0.8	0.89	0.349	1.0	1.0 	 0.83	0.77	1.366	1.0	1.0 	 0.64	0.78	1.789	1.0	1.0 	 1.0	1.0	1.63	1.0	1.0 	 0.56	0.62	1.549	1.0	1.0 	 1.0	1.0	1.484	1.0	1.0 	 0.88	0.78	0.137	1.0	1.0 	 0.83	0.83	3.113	1.0	1.0 	 0.64	0.69	2.413	1.0	1.0 	 1.0	1.0	0.802	1.0	1.0 	 0.78	0.88	0.147	1.0	1.0 	 0.93	0.74	1.41	1.0	1.0 	 1.0	1.0	0.27	1.0	1.0 	 0.75	0.8	2.578	1.0	1.0 	 0.75	0.71	2.608	1.0	1.0 	 1.0	1.0	1.484	1.0	1.0 	 0.89	0.84	3.076	1.0	1.0 	 0.82	1.0	0.743	1.0	1.0
1.0	1.0	0.903	1.0	1.0 	 0.73	0.73	2.091	1.0	1.0 	 0.88	0.78	0.597	1.0	1.0 	 0.78	0.78	3.126	1.0	1.0 	 0.62	0.57	2.519	1.0	1.0 	 0.93	0.72	1.387	1.0	1.0 	 0.78	0.78	3.107	1.0	1.0 	 0.57	0.57	0.953	1.0	1.0 	 0.1	0.2	0.634	1.0	1.0 	 0.45	0.5	0.531	1.0	1.0 	 0.33	0.5	0.91	1.0	1.0 	 0.8	0.89	1.212	1.0	1.0 	 0.83	0.77	1.534	1.0	1.0 	 0.58	0.78	1.818	1.0	1.0 	 1.0	1.0	1.557	1.0	1.0 	 0.56	0.62	1.432	1.0	1.0 	 1.0	1.0	1.511	1.0	1.0 	 0.88	0.78	0.62	1.0	1.0 	 0.78	0.78	3.131	1.0	1.0 	 0.69	0.69	2.596	1.0	1.0 	 1.0	1.0	0.875	1.0	1.0 	 0.78	0.88	0.787	1.0	1.0 	 0.89	0.84	1.912	1.0	1.0 	 1.0	1.0	1.503	1.0	1.0 	 0.76	0.87	2.304	1.0	1.0 	 0.75	0.71	2.54	1.0	1.0 	 1.0	1.0	1.48	1.0	1.0 	 0.89	0.84	2.996	1.0	1.0 	 0.82	1.0	0.718	1.0	1.0
1.0	1.0	0.521	1.0	1.0 	 0.71	0.67	1.913	1.0	1.0 	 0.88	0.78	0.312	1.0	1.0 	 0.83	0.83	1.053	1.0	1.0 	 0.54	0.5	2.013	1.0	1.0 	 0.73	0.61	0.446	1.0	1.0 	 0.83	0.83	1.021	1.0	1.0 	 0.57	0.57	0.949	1.0	1.0 	 0.1	0.2	0.643	1.0	1.0 	 0.45	0.5	0.521	1.0	1.0 	 0.33	0.5	0.912	1.0	1.0 	 0.8	0.89	1.224	1.0	1.0 	 0.83	0.77	1.447	1.0	1.0 	 0.58	0.78	1.542	1.0	1.0 	 1.0	1.0	1.678	1.0	1.0 	 0.56	0.62	1.579	1.0	1.0 	 1.0	1.0	1.527	1.0	1.0 	 0.88	0.78	0.607	1.0	1.0 	 0.78	0.78	3.518	1.0	1.0 	 0.69	0.69	2.568	1.0	1.0 	 1.0	1.0	0.861	1.0	1.0 	 0.78	0.88	0.785	1.0	1.0 	 0.89	0.84	1.867	1.0	1.0 	 1.0	1.0	1.402	1.0	1.0 	 0.87	0.87	2.023	1.0	1.0 	 0.75	0.71	2.904	1.0	1.0 	 1.0	1.0	1.504	1.0	1.0 	 0.89	0.84	2.964	1.0	1.0 	 0.82	1.0	0.826	1.0	1.0
1.0	1.0	0.491	1.0	1.0 	 0.73	0.73	2.032	1.0	1.0 	 0.88	0.78	0.338	1.0	1.0 	 0.83	0.83	0.962	1.0	1.0 	 0.54	0.5	1.805	1.0	1.0 	 0.73	0.61	0.492	1.0	1.0 	 0.83	0.83	0.992	1.0	1.0 	 0.57	0.57	1.049	1.0	1.0 	 0.22	0.4	0.29	1.0	1.0 	 0.45	0.5	0.503	1.0	1.0 	 0.33	0.5	0.787	1.0	1.0 	 0.8	0.89	0.371	1.0	1.0 	 0.83	0.77	0.435	1.0	1.0 	 0.54	0.78	0.404	1.0	1.0 	 0.81	0.87	0.499	1.0	1.0 	 0.36	0.5	1.427	1.0	1.0 	 1.0	1.0	0.524	1.0	1.0 	 0.88	0.78	0.35	1.0	1.0 	 0.83	0.83	1.078	1.0	1.0 	 0.69	0.69	2.08	1.0	1.0 	 1.0	1.0	0.6	1.0	1.0 	 0.78	0.88	0.244	1.0	1.0 	 0.89	0.84	0.963	1.0	1.0 	 1.0	1.0	0.407	1.0	1.0 	 0.76	0.87	6.49	1.0	1.0 	 0.61	0.65	2.287	1.0	1.0 	 1.0	1.0	0.45	1.0	1.0 	 0.89	0.84	41.118	1.0	1.0 	 0.82	1.0	0.45	1.0	1.0
1.0	1.0	0.498	1.0	1.0 	 0.73	0.73	2.233	1.0	1.0 	 0.88	0.78	0.315	1.0	1.0 	 0.83	0.83	1.096	1.0	1.0 	 0.54	0.5	1.848	1.0	1.0 	 0.73	0.61	0.521	1.0	1.0 	 0.83	0.83	1.106	1.0	1.0 	 0.57	0.57	0.979	1.0	1.0 	 0.22	0.4	0.299	1.0	1.0 	 0.45	0.5	0.577	1.0	1.0 	 0.33	0.5	0.825	1.0	1.0 	 0.8	0.89	0.35	1.0	1.0 	 0.83	0.77	0.43	1.0	1.0 	 0.54	0.78	0.404	1.0	1.0 	 0.81	0.87	0.502	1.0	1.0 	 0.36	0.5	1.293	1.0	1.0 	 1.0	1.0	0.522	1.0	1.0 	 0.88	0.78	0.314	1.0	1.0 	 0.83	0.83	1.09	1.0	1.0 	 0.64	0.69	2.077	1.0	1.0 	 1.0	1.0	0.609	1.0	1.0 	 0.78	0.88	0.258	1.0	1.0 	 0.89	0.84	1.129	1.0	1.0 	 1.0	1.0	0.414	1.0	1.0 	 0.76	0.87	5.791	1.0	1.0 	 0.61	0.65	2.349	1.0	1.0 	 1.0	1.0	0.456	1.0	1.0 	 0.89	0.84	32.857	1.0	1.0 	 0.82	1.0	0.453	1.0	1.0
