s01-cb.csv(7)	 	 	 	  	 s02-dma.csv(12)	 	 	 	  	 s03-ima-artists.xml(4)	 	 	 	  	 s04-ima-artworks.xml(17)	 	 	 	  	 s05-met.json(14)	 	 	 	  	 s06-npg.json(18)	 	 	 	  	 s07-s-13.json(14)	 	 	 	  	 s08-s-17-edited.xml(6)	 	 	 	  	 s09-s-18-artists.json(4)	 	 	 	  	 s10-s-18-artworks.json(11)	 	 	 	  	 s11-s-19-artists.json(6)	 	 	 	  	 s12-s-19-artworks.json(9)	 	 	 	  	 s13-s-art-institute-of-chicago.xml(10)	 	 	 	  	 s14-s-california-african-american.json(9)	 	 	 	  	 s15-s-detroit-institute-of-art.json(13)	 	 	 	  	 s16-s-hammer.xml(5)	 	 	 	  	 s17-s-houston-museum-of-fine-arts.json(12)	 	 	 	  	 s18-s-indianapolis-artists.xml(5)	 	 	 	  	 s19-s-indianapolis-artworks.xml(17)	 	 	 	  	 s20-s-lacma.xml(9)	 	 	 	  	 s21-s-met.json(28)	 	 	 	  	 s22-s-moca.xml(8)	 	 	 	  	 s23-s-national-portrait-gallery.json(18)	 	 	 	  	 s24-s-norton-simon.json(10)	 	 	 	  	 s25-s-oakland-museum-paintings.json(13)	 	 	 	  	 s26-s-san-francisco-moma.json(14)	 	 	 	  	 s27-s-the-huntington.json(12)	 	 	 	  	 s28-wildlife-art.csv(15)	 	 	 	  	 s29-gilcrease.csv(9)	 	 	 	 
p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m 	 p 	 r 	 t 	 a 	 m
0.0	0.0	0.263	1.0	1.0 	 0.5	0.5	0.064	1.0	1.0 	 0.0	0.0	0.051	1.0	1.0 	 0.0	0.0	0.076	1.0	1.0 	 0.0	0.0	0.086	1.0	1.0 	 0.0	0.0	0.072	1.0	1.0 	 0.0	0.0	0.082	1.0	1.0 	 0.0	0.0	0.059	1.0	1.0 	 0.0	0.0	0.047	1.0	1.0 	 0.0	0.0	0.071	1.0	1.0 	 0.0	0.0	0.049	1.0	1.0 	 0.0	0.0	0.067	1.0	1.0 	 0.0	0.0	0.064	1.0	1.0 	 0.0	0.0	0.08	1.0	1.0 	 0.0	0.0	0.07	1.0	1.0 	 0.0	0.0	0.06	1.0	1.0 	 0.0	0.0	0.072	1.0	1.0 	 0.0	0.0	0.052	1.0	1.0 	 0.0	0.0	0.08	1.0	1.0 	 0.0	0.0	0.059	1.0	1.0 	 0.33	0.11	0.063	1.0	1.0 	 0.0	0.0	0.059	1.0	1.0 	 0.0	0.0	0.071	1.0	1.0 	 0.0	0.0	0.062	1.0	1.0 	 0.0	0.0	0.069	1.0	1.0 	 0.17	0.14	0.11	1.0	1.0 	 0.0	0.0	0.065	1.0	1.0 	 0.0	0.0	0.061	1.0	1.0 	 0.5	0.5	0.062	1.0	1.0
1.0	1.0	0.193	1.0	1.0 	 1.0	1.0	0.085	1.0	1.0 	 0.0	0.0	0.069	1.0	1.0 	 0.0	0.0	0.103	1.0	1.0 	 0.17	0.14	0.093	1.0	1.0 	 0.25	0.17	0.089	1.0	1.0 	 0.25	0.2	0.086	1.0	1.0 	 0.33	0.25	0.081	1.0	1.0 	 0.0	0.0	0.072	1.0	1.0 	 0.25	0.2	0.087	1.0	1.0 	 0.0	0.0	0.068	1.0	1.0 	 0.33	0.33	0.089	1.0	1.0 	 0.33	0.33	0.09	1.0	1.0 	 0.0	0.0	0.105	1.0	1.0 	 0.25	0.25	0.086	1.0	1.0 	 0.33	0.33	0.088	1.0	1.0 	 0.0	0.0	0.094	1.0	1.0 	 1.0	1.0	0.073	1.0	1.0 	 0.0	0.0	0.098	1.0	1.0 	 0.33	0.33	0.087	1.0	1.0 	 0.67	0.22	0.083	1.0	1.0 	 0.33	0.33	0.085	1.0	1.0 	 0.25	0.17	0.087	1.0	1.0 	 0.33	0.33	0.086	1.0	1.0 	 0.25	0.2	0.089	1.0	1.0 	 0.0	0.0	0.12	1.0	1.0 	 0.33	0.33	0.083	1.0	1.0 	 0.33	0.25	0.083	1.0	1.0 	 1.0	1.0	0.079	1.0	1.0
1.0	1.0	0.143	1.0	1.0 	 1.0	1.0	0.095	1.0	1.0 	 0.0	0.0	0.07	1.0	1.0 	 0.0	0.0	0.1	1.0	1.0 	 0.17	0.14	0.102	1.0	1.0 	 0.5	0.33	0.091	1.0	1.0 	 0.5	0.4	0.085	1.0	1.0 	 0.33	0.25	0.086	1.0	1.0 	 0.0	0.0	0.073	1.0	1.0 	 0.25	0.2	0.09	1.0	1.0 	 0.0	0.0	0.07	1.0	1.0 	 0.33	0.33	0.09	1.0	1.0 	 0.33	0.33	0.098	1.0	1.0 	 0.17	0.2	0.109	1.0	1.0 	 0.5	0.5	0.092	1.0	1.0 	 0.33	0.33	0.092	1.0	1.0 	 0.0	0.0	0.098	1.0	1.0 	 1.0	1.0	0.076	1.0	1.0 	 0.0	0.0	0.107	1.0	1.0 	 0.33	0.33	0.086	1.0	1.0 	 0.67	0.22	0.077	1.0	1.0 	 0.33	0.33	0.087	1.0	1.0 	 0.25	0.17	0.088	1.0	1.0 	 0.33	0.33	0.092	1.0	1.0 	 0.25	0.2	0.091	1.0	1.0 	 0.17	0.14	0.118	1.0	1.0 	 0.33	0.33	0.087	1.0	1.0 	 0.33	0.25	0.075	1.0	1.0 	 1.0	1.0	0.081	1.0	1.0
1.0	1.0	0.337	1.0	1.0 	 0.25	0.5	0.411	1.0	1.0 	 0.0	0.0	0.074	1.0	1.0 	 0.0	0.0	0.122	1.0	1.0 	 0.17	0.14	0.097	1.0	1.0 	 0.5	0.33	0.102	1.0	1.0 	 0.5	0.4	0.086	1.0	1.0 	 0.33	0.25	0.087	1.0	1.0 	 0.0	0.0	0.072	1.0	1.0 	 0.25	0.2	0.085	1.0	1.0 	 0.0	0.0	0.073	1.0	1.0 	 0.33	0.33	0.093	1.0	1.0 	 0.33	0.33	0.091	1.0	1.0 	 0.17	0.2	0.107	1.0	1.0 	 0.5	0.5	0.093	1.0	1.0 	 0.33	0.33	0.093	1.0	1.0 	 0.0	0.0	0.101	1.0	1.0 	 1.0	1.0	0.08	1.0	1.0 	 0.0	0.0	0.114	1.0	1.0 	 0.33	0.33	0.088	1.0	1.0 	 0.67	0.22	0.084	1.0	1.0 	 0.33	0.33	0.09	1.0	1.0 	 0.25	0.17	0.094	1.0	1.0 	 0.33	0.33	0.091	1.0	1.0 	 0.25	0.2	0.088	1.0	1.0 	 0.17	0.14	0.123	1.0	1.0 	 0.33	0.33	0.091	1.0	1.0 	 0.33	0.25	0.083	1.0	1.0 	 1.0	1.0	0.083	1.0	1.0
1.0	1.0	0.291	1.0	1.0 	 0.25	0.5	0.546	1.0	1.0 	 0.0	0.0	0.078	1.0	1.0 	 0.0	0.0	1.507	1.0	1.0 	 0.83	0.71	0.544	1.0	1.0 	 0.6	0.5	0.461	1.0	1.0 	 0.75	0.6	0.437	1.0	1.0 	 1.0	0.75	0.19	1.0	1.0 	 0.0	0.0	0.078	1.0	1.0 	 1.0	0.8	0.444	1.0	1.0 	 0.0	0.0	0.078	1.0	1.0 	 1.0	1.0	0.624	1.0	1.0 	 1.0	1.0	0.576	1.0	1.0 	 0.8	0.8	0.43	1.0	1.0 	 0.75	0.75	0.426	1.0	1.0 	 1.0	1.0	0.177	1.0	1.0 	 1.0	1.0	0.472	1.0	1.0 	 1.0	1.0	0.086	1.0	1.0 	 1.0	1.0	0.476	1.0	1.0 	 0.75	1.0	0.426	1.0	1.0 	 0.4	0.22	0.739	1.0	1.0 	 1.0	1.0	0.614	1.0	1.0 	 0.8	0.67	0.447	1.0	1.0 	 1.0	1.0	0.614	1.0	1.0 	 1.0	0.8	0.427	1.0	1.0 	 0.57	0.57	0.729	1.0	1.0 	 1.0	1.0	0.609	1.0	1.0 	 0.4	0.5	0.699	1.0	1.0 	 0.25	0.5	0.442	1.0	1.0
1.0	1.0	0.597	1.0	1.0 	 0.25	0.5	0.426	1.0	1.0 	 0.0	0.0	0.177	1.0	1.0 	 0.12	0.14	2.845	1.0	1.0 	 0.75	0.86	0.898	1.0	1.0 	 0.83	0.83	0.64	1.0	1.0 	 0.75	0.6	0.609	1.0	1.0 	 1.0	0.75	0.199	1.0	1.0 	 0.0	0.0	0.084	1.0	1.0 	 0.83	1.0	0.557	1.0	1.0 	 0.0	0.0	0.079	1.0	1.0 	 1.0	1.0	0.642	1.0	1.0 	 1.0	1.0	0.615	1.0	1.0 	 0.8	0.8	0.615	1.0	1.0 	 0.75	0.75	0.536	1.0	1.0 	 1.0	1.0	0.17	1.0	1.0 	 1.0	1.0	0.639	1.0	1.0 	 1.0	1.0	0.096	1.0	1.0 	 1.0	1.0	0.694	1.0	1.0 	 0.75	1.0	0.436	1.0	1.0 	 0.5	0.33	0.359	1.0	1.0 	 1.0	1.0	0.645	1.0	1.0 	 0.83	0.83	0.553	1.0	1.0 	 1.0	1.0	0.619	1.0	1.0 	 0.83	1.0	0.543	1.0	1.0 	 0.43	0.43	0.324	1.0	1.0 	 1.0	1.0	0.623	1.0	1.0 	 0.67	1.0	0.34	1.0	1.0 	 0.25	0.5	0.461	1.0	1.0
1.0	1.0	0.572	1.0	1.0 	 0.25	0.5	0.483	1.0	1.0 	 0.0	0.0	0.181	1.0	1.0 	 0.12	0.14	2.396	1.0	1.0 	 0.75	0.86	0.895	1.0	1.0 	 0.83	0.83	0.853	1.0	1.0 	 0.75	0.6	0.566	1.0	1.0 	 1.0	0.75	0.313	1.0	1.0 	 0.0	0.0	0.175	1.0	1.0 	 0.83	1.0	0.571	1.0	1.0 	 0.0	0.0	0.379	1.0	1.0 	 1.0	1.0	0.757	1.0	1.0 	 1.0	1.0	0.661	1.0	1.0 	 0.8	0.8	0.519	1.0	1.0 	 0.75	0.75	0.438	1.0	1.0 	 1.0	1.0	0.309	1.0	1.0 	 1.0	1.0	0.489	1.0	1.0 	 1.0	1.0	0.312	1.0	1.0 	 1.0	1.0	0.878	1.0	1.0 	 0.75	1.0	0.63	1.0	1.0 	 0.29	0.22	0.58	1.0	1.0 	 1.0	1.0	0.627	1.0	1.0 	 0.83	0.83	0.714	1.0	1.0 	 1.0	1.0	0.651	1.0	1.0 	 0.67	0.8	0.599	1.0	1.0 	 0.43	0.43	0.915	1.0	1.0 	 1.0	1.0	0.63	1.0	1.0 	 0.5	0.75	0.546	1.0	1.0 	 0.25	0.5	0.351	1.0	1.0
1.0	1.0	0.614	1.0	1.0 	 0.25	0.5	0.517	1.0	1.0 	 0.0	0.0	0.175	1.0	1.0 	 0.12	0.14	2.338	1.0	1.0 	 0.75	0.86	1.23	1.0	1.0 	 0.83	0.83	0.75	1.0	1.0 	 0.67	0.8	0.668	1.0	1.0 	 1.0	1.0	0.499	1.0	1.0 	 0.0	0.0	0.173	1.0	1.0 	 1.0	1.0	0.51	1.0	1.0 	 0.0	0.0	0.38	1.0	1.0 	 1.0	1.0	0.701	1.0	1.0 	 1.0	1.0	0.63	1.0	1.0 	 0.8	0.8	0.586	1.0	1.0 	 1.0	1.0	0.55	1.0	1.0 	 1.0	1.0	0.485	1.0	1.0 	 1.0	1.0	0.494	1.0	1.0 	 1.0	1.0	0.339	1.0	1.0 	 1.0	1.0	0.607	1.0	1.0 	 0.75	1.0	0.611	1.0	1.0 	 0.43	0.33	0.399	1.0	1.0 	 1.0	1.0	0.605	1.0	1.0 	 1.0	1.0	0.73	1.0	1.0 	 1.0	1.0	0.622	1.0	1.0 	 1.0	1.0	0.613	1.0	1.0 	 0.43	0.43	0.872	1.0	1.0 	 1.0	1.0	0.625	1.0	1.0 	 0.67	1.0	0.44	1.0	1.0 	 0.25	0.5	0.384	1.0	1.0
1.0	1.0	0.575	1.0	1.0 	 0.25	0.5	0.497	1.0	1.0 	 0.0	0.0	0.232	1.0	1.0 	 0.12	0.14	2.42	1.0	1.0 	 0.75	0.86	1.262	1.0	1.0 	 0.83	0.83	0.721	1.0	1.0 	 0.67	0.8	0.61	1.0	1.0 	 1.0	1.0	0.459	1.0	1.0 	 0.0	0.0	0.226	1.0	1.0 	 1.0	1.0	0.514	1.0	1.0 	 0.0	0.0	0.38	1.0	1.0 	 1.0	1.0	0.714	1.0	1.0 	 1.0	1.0	0.659	1.0	1.0 	 0.8	0.8	0.563	1.0	1.0 	 1.0	1.0	0.543	1.0	1.0 	 1.0	1.0	0.422	1.0	1.0 	 1.0	1.0	0.482	1.0	1.0 	 1.0	1.0	0.339	1.0	1.0 	 1.0	1.0	0.695	1.0	1.0 	 0.75	1.0	0.623	1.0	1.0 	 0.43	0.33	0.452	1.0	1.0 	 1.0	1.0	0.611	1.0	1.0 	 1.0	1.0	0.727	1.0	1.0 	 1.0	1.0	0.628	1.0	1.0 	 1.0	1.0	0.619	1.0	1.0 	 0.43	0.43	0.87	1.0	1.0 	 1.0	1.0	0.629	1.0	1.0 	 0.67	1.0	0.451	1.0	1.0 	 0.25	0.5	0.469	1.0	1.0
1.0	1.0	0.553	1.0	1.0 	 0.25	0.5	0.444	1.0	1.0 	 0.0	0.0	0.243	1.0	1.0 	 0.12	0.14	2.4	1.0	1.0 	 0.75	0.86	1.438	1.0	1.0 	 0.83	0.83	0.557	1.0	1.0 	 0.67	0.8	0.568	1.0	1.0 	 1.0	1.0	0.463	1.0	1.0 	 0.0	0.0	0.249	1.0	1.0 	 1.0	1.0	0.552	1.0	1.0 	 0.0	0.0	0.384	1.0	1.0 	 1.0	1.0	0.72	1.0	1.0 	 1.0	1.0	0.647	1.0	1.0 	 0.8	0.8	0.606	1.0	1.0 	 1.0	1.0	0.546	1.0	1.0 	 1.0	1.0	0.396	1.0	1.0 	 1.0	1.0	0.491	1.0	1.0 	 1.0	1.0	0.312	1.0	1.0 	 1.0	1.0	0.67	1.0	1.0 	 0.75	1.0	0.62	1.0	1.0 	 0.43	0.33	0.48	1.0	1.0 	 1.0	1.0	0.619	1.0	1.0 	 1.0	1.0	0.707	1.0	1.0 	 1.0	1.0	0.631	1.0	1.0 	 1.0	1.0	0.61	1.0	1.0 	 0.43	0.43	0.893	1.0	1.0 	 1.0	1.0	0.632	1.0	1.0 	 0.67	1.0	0.501	1.0	1.0 	 0.25	0.5	0.477	1.0	1.0
